timestamp,load_mw
2023-03-01 00:00:00,69.875
2023-03-01 00:15:00,70.115
2023-03-01 00:30:00,70.461
2023-03-01 00:45:00,70.912
2023-03-01 01:00:00,71.464
2023-03-01 01:15:00,72.116
2023-03-01 01:30:00,72.865
2023-03-01 01:45:00,73.708
2023-03-01 02:00:00,74.641
2023-03-01 02:15:00,75.66
2023-03-01 02:30:00,76.761
2023-03-01 02:45:00,77.938
2023-03-01 03:00:00,79.187
2023-03-01 03:15:00,80.503
2023-03-01 03:30:00,81.88
2023-03-01 03:45:00,83.311
2023-03-01 04:00:00,84.792
2023-03-01 04:15:00,86.314
2023-03-01 04:30:00,87.872
2023-03-01 04:45:00,89.459
2023-03-01 05:00:00,91.069
2023-03-01 05:15:00,92.693
2023-03-01 05:30:00,94.326
2023-03-01 05:45:00,95.96
2023-03-01 06:00:00,97.588
2023-03-01 06:15:00,99.203
2023-03-01 06:30:00,100.798
2023-03-01 06:45:00,102.366
2023-03-01 07:00:00,103.9
2023-03-01 07:15:00,105.394
2023-03-01 07:30:00,106.842
2023-03-01 07:45:00,108.236
2023-03-01 08:00:00,109.571
2023-03-01 08:15:00,110.841
2023-03-01 08:30:00,112.041
2023-03-01 08:45:00,113.165
2023-03-01 09:00:00,114.209
2023-03-01 09:15:00,115.167
2023-03-01 09:30:00,116.036
2023-03-01 09:45:00,116.811
2023-03-01 10:00:00,117.49
2023-03-01 10:15:00,118.07
2023-03-01 10:30:00,118.547
2023-03-01 10:45:00,118.919
2023-03-01 11:00:00,119.186
2023-03-01 11:15:00,119.345
2023-03-01 11:30:00,119.396
2023-03-01 11:45:00,119.339
2023-03-01 12:00:00,119.173
2023-03-01 12:15:00,118.899
2023-03-01 12:30:00,118.519
2023-03-01 12:45:00,118.033
2023-03-01 13:00:00,117.444
2023-03-01 13:15:00,116.754
2023-03-01 13:30:00,115.966
2023-03-01 13:45:00,115.084
2023-03-01 14:00:00,114.11
2023-03-01 14:15:00,113.048
2023-03-01 14:30:00,111.905
2023-03-01 14:45:00,110.683
2023-03-01 15:00:00,109.388
2023-03-01 15:15:00,108.026
2023-03-01 15:30:00,106.602
2023-03-01 15:45:00,105.122
2023-03-01 16:00:00,103.592
2023-03-01 16:15:00,102.02
2023-03-01 16:30:00,100.41
2023-03-01 16:45:00,98.771
2023-03-01 17:00:00,97.109
2023-03-01 17:15:00,95.431
2023-03-01 17:30:00,93.744
2023-03-01 17:45:00,92.055
2023-03-01 18:00:00,90.371
2023-03-01 18:15:00,88.7
2023-03-01 18:30:00,87.047
2023-03-01 18:45:00,85.422
2023-03-01 19:00:00,83.829
2023-03-01 19:15:00,82.276
2023-03-01 19:30:00,80.769
2023-03-01 19:45:00,79.315
2023-03-01 20:00:00,77.919
2023-03-01 20:15:00,76.588
2023-03-01 20:30:00,75.327
2023-03-01 20:45:00,74.142
2023-03-01 21:00:00,73.036
2023-03-01 21:15:00,72.016
2023-03-01 21:30:00,71.084
2023-03-01 21:45:00,70.246
2023-03-01 22:00:00,69.503
2023-03-01 22:15:00,68.861
2023-03-01 22:30:00,68.32
2023-03-01 22:45:00,67.884
2023-03-01 23:00:00,67.553
2023-03-01 23:15:00,67.33
2023-03-01 23:30:00,67.214
2023-03-01 23:45:00,67.207
2023-03-02 00:00:00,67.309
2023-03-02 00:15:00,67.518
2023-03-02 00:30:00,67.833
2023-03-02 00:45:00,68.254
2023-03-02 01:00:00,68.778
2023-03-02 01:15:00,69.403
2023-03-02 01:30:00,70.125
2023-03-02 01:45:00,70.943
2023-03-02 02:00:00,71.851
2023-03-02 02:15:00,72.847
2023-03-02 02:30:00,73.925
2023-03-02 02:45:00,75.081
2023-03-02 03:00:00,76.31
2023-03-02 03:15:00,77.606
2023-03-02 03:30:00,78.964
2023-03-02 03:45:00,80.377
2023-03-02 04:00:00,81.84
2023-03-02 04:15:00,83.346
